"	date",id_station,id_parameter,value,unit
15/01/2018,TLI,PM10,79,2
15/01/2018,UAX,PM2.5,32,2
15/01/2018,VIF,PM10,68,2
15/01/2018,XAL,PM10,120,2
15/01/2018,XAL,PM2.5,41,2
15/01/2018,CCA,PM2.5,30,2
15/01/2018,MGH,PM10,64,2
15/01/2018,MGH,PM2.5,34,2
15/01/2018,AJM,PM10,50,2
15/01/2018,AJM,PM2.5,26,2
15/01/2018,BJU,PM10,59,2
15/01/2018,BJU,PM2.5,31,2
15/01/2018,INN,PM10,20,2
15/01/2018,INN,PM2.5,9,2
15/01/2018,GAM,PM2.5,36,2
16/01/2018,ACO,PM10,102,2
16/01/2018,AJU,PM2.5,28,2
16/01/2018,ATI,PM10,68,2
16/01/2018,CUA,PM10,42,2
16/01/2018,CUT,PM10,89,2
16/01/2018,FAC,PM10,63,2
16/01/2018,HGM,PM10,78,2
16/01/2018,HGM,PM2.5,35,2
16/01/2018,IZT,PM10,91,2
16/01/2018,MER,PM10,73,2
16/01/2018,MER,PM2.5,43,2
16/01/2018,NEZ,PM2.5,42,2
16/01/2018,SAG,PM10,109,2
16/01/2018,SAG,PM2.5,34,2
16/01/2018,SFE,PM10,57,2
16/01/2018,SFE,PM2.5,22,2
16/01/2018,TAH,PM10,79,2
16/01/2018,TLA,PM10,79,2
16/01/2018,TLA,PM2.5,28,2
16/01/2018,TLI,PM10,93,2
16/01/2018,UAX,PM2.5,36,2
16/01/2018,VIF,PM10,91,2
16/01/2018,XAL,PM10,162,2
16/01/2018,XAL,PM2.5,47,2
16/01/2018,CCA,PM2.5,31,2
16/01/2018,MGH,PM10,70,2
16/01/2018,MGH,PM2.5,33,2
16/01/2018,AJM,PM10,69,2
16/01/2018,AJM,PM2.5,27,2
16/01/2018,BJU,PM10,77,2
16/01/2018,BJU,PM2.5,34,2
16/01/2018,INN,PM10,44,2
16/01/2018,INN,PM2.5,19,2
16/01/2018,GAM,PM2.5,37,2
17/01/2018,ACO,PM10,69,2
17/01/2018,AJU,PM2.5,21,2
17/01/2018,ATI,PM10,62,2
17/01/2018,CAM,PM10,68,2
17/01/2018,CAM,PM2.5,24,2
17/01/2018,CUA,PM10,50,2
17/01/2018,CUT,PM10,58,2
17/01/2018,FAC,PM10,45,2
17/01/2018,HGM,PM10,58,2
17/01/2018,HGM,PM2.5,25,2
17/01/2018,IZT,PM10,59,2
17/01/2018,MER,PM10,46,2
17/01/2018,MER,PM2.5,27,2
17/01/2018,NEZ,PM2.5,27,2
17/01/2018,SAG,PM10,79,2
17/01/2018,SAG,PM2.5,26,2
17/01/2018,SFE,PM10,52,2
17/01/2018,SFE,PM2.5,23,2
17/01/2018,TAH,PM10,57,2
17/01/2018,TLA,PM10,74,2
17/01/2018,TLA,PM2.5,30,2
17/01/2018,TLI,PM10,66,2
17/01/2018,UAX,PM2.5,25,2
17/01/2018,VIF,PM10,65,2
17/01/2018,XAL,PM10,107,2
17/01/2018,XAL,PM2.5,36,2
17/01/2018,CCA,PM2.5,23,2
17/01/2018,MGH,PM10,54,2
17/01/2018,MGH,PM2.5,26,2
17/01/2018,AJM,PM10,55,2
17/01/2018,AJM,PM2.5,25,2
17/01/2018,BJU,PM10,58,2
17/01/2018,BJU,PM2.5,26,2
17/01/2018,INN,PM10,42,2
17/01/2018,INN,PM2.5,20,2
17/01/2018,GAM,PM2.5,27,2
18/01/2018,ACO,PM10,81,2
18/01/2018,AJU,PM2.5,28,2
18/01/2018,ATI,PM10,72,2
18/01/2018,CAM,PM10,83,2
18/01/2018,CAM,PM2.5,38,2
18/01/2018,CUA,PM10,49,2
18/01/2018,CUT,PM10,86,2
18/01/2018,FAC,PM10,49,2
18/01/2018,HGM,PM10,66,2
18/01/2018,HGM,PM2.5,35,2
18/01/2018,IZT,PM10,68,2
18/01/2018,MER,PM10,60,2
18/01/2018,MER,PM2.5,40,2
18/01/2018,NEZ,PM2.5,40,2
18/01/2018,SAG,PM10,84,2
18/01/2018,SAG,PM2.5,32,2
18/01/2018,SFE,PM10,62,2
18/01/2018,SFE,PM2.5,31,2
18/01/2018,TAH,PM10,53,2
18/01/2018,TLA,PM10,82,2
18/01/2018,TLA,PM2.5,40,2
18/01/2018,TLI,PM10,84,2
18/01/2018,UAX,PM2.5,27,2
18/01/2018,VIF,PM10,86,2
18/01/2018,XAL,PM10,114,2
18/01/2018,XAL,PM2.5,45,2
18/01/2018,CCA,PM2.5,30,2
18/01/2018,MGH,PM10,65,2
18/01/2018,MGH,PM2.5,36,2
18/01/2018,AJM,PM10,61,2
18/01/2018,AJM,PM2.5,31,2
18/01/2018,BJU,PM10,67,2
18/01/2018,BJU,PM2.5,36,2
18/01/2018,INN,PM10,39,2
18/01/2018,INN,PM2.5,22,2
18/01/2018,GAM,PM2.5,40,2
19/01/2018,ACO,PM10,85,2
19/01/2018,AJU,PM2.5,27,2
19/01/2018,ATI,PM10,78,2
19/01/2018,CAM,PM10,79,2
19/01/2018,CAM,PM2.5,34,2
19/01/2018,CUA,PM10,42,2
19/01/2018,CUT,PM10,109,2
19/01/2018,FAC,PM10,45,2
19/01/2018,HGM,PM10,64,2
19/01/2018,HGM,PM2.5,34,2
19/01/2018,IZT,PM10,70,2
19/01/2018,MER,PM10,51,2
19/01/2018,MER,PM2.5,35,2
19/01/2018,NEZ,PM2.5,50,2
19/01/2018,SAG,PM10,103,2
19/01/2018,SAG,PM2.5,36,2
19/01/2018,SFE,PM10,52,2
19/01/2018,SFE,PM2.5,24,2
19/01/2018,TAH,PM10,57,2
19/01/2018,TLA,PM10,89,2
19/01/2018,TLA,PM2.5,43,2
19/01/2018,UAX,PM2.5,32,2
19/01/2018,VIF,PM10,106,2
19/01/2018,XAL,PM10,149,2
19/01/2018,XAL,PM2.5,55,2
19/01/2018,CCA,PM2.5,32,2
19/01/2018,MGH,PM10,67,2
19/01/2018,MGH,PM2.5,38,2
19/01/2018,AJM,PM10,51,2
19/01/2018,AJM,PM2.5,25,2
19/01/2018,BJU,PM10,68,2
19/01/2018,BJU,PM2.5,36,2
19/01/2018,INN,PM10,19,2
19/01/2018,INN,PM2.5,9,2
19/01/2018,GAM,PM2.5,47,2
20/01/2018,ACO,PM10,86,2
20/01/2018,AJU,PM2.5,15,2
20/01/2018,ATI,PM10,54,2
20/01/2018,CAM,PM10,58,2
20/01/2018,CAM,PM2.5,26,2
20/01/2018,CUA,PM10,27,2
20/01/2018,CUT,PM10,64,2
20/01/2018,FAC,PM10,36,2
20/01/2018,HGM,PM10,51,2
20/01/2018,HGM,PM2.5,25,2
20/01/2018,IZT,PM10,60,2
20/01/2018,MER,PM10,41,2
20/01/2018,MER,PM2.5,30,2
20/01/2018,NEZ,PM2.5,52,2
20/01/2018,SAG,PM10,100,2
