,DATETIME,FECHA,HORA,MGH,AÑO,MES
131761,2015-01-12 02:00:00,2015-01-12 00:00:00,2,24.0,2015,1
131762,2015-01-12 03:00:00,2015-01-12 00:00:00,3,20.0,2015,1
131763,2015-01-12 04:00:00,2015-01-12 00:00:00,4,22.0,2015,1
131764,2015-01-12 05:00:00,2015-01-12 00:00:00,5,24.0,2015,1
131765,2015-01-12 06:00:00,2015-01-12 00:00:00,6,25.0,2015,1
131766,2015-01-12 07:00:00,2015-01-12 00:00:00,7,38.0,2015,1
131767,2015-01-12 08:00:00,2015-01-12 00:00:00,8,51.0,2015,1
131768,2015-01-12 09:00:00,2015-01-12 00:00:00,9,66.0,2015,1
131769,2015-01-12 10:00:00,2015-01-12 00:00:00,10,64.0,2015,1
131770,2015-01-12 11:00:00,2015-01-12 00:00:00,11,79.0,2015,1
131771,2015-01-12 12:00:00,2015-01-12 00:00:00,12,62.0,2015,1
131772,2015-01-12 13:00:00,2015-01-12 00:00:00,13,51.0,2015,1
131773,2015-01-12 14:00:00,2015-01-12 00:00:00,14,58.0,2015,1
131774,2015-01-12 15:00:00,2015-01-12 00:00:00,15,67.0,2015,1
131775,2015-01-12 16:00:00,2015-01-12 00:00:00,16,73.0,2015,1
131776,2015-01-12 17:00:00,2015-01-12 00:00:00,17,77.0,2015,1
131777,2015-01-12 18:00:00,2015-01-12 00:00:00,18,87.0,2015,1
131778,2015-01-12 19:00:00,2015-01-12 00:00:00,19,101.0,2015,1
131779,2015-01-12 20:00:00,2015-01-12 00:00:00,20,112.0,2015,1
131780,2015-01-12 21:00:00,2015-01-12 00:00:00,21,117.0,2015,1
131781,2015-01-12 22:00:00,2015-01-12 00:00:00,22,98.0,2015,1
131782,2015-01-12 23:00:00,2015-01-12 00:00:00,23,77.0,2015,1
131783,2015-01-12 00:00:00,2015-01-12 00:00:00,0,74.0,2015,1
131784,2015-01-13 01:00:00,2015-01-13 00:00:00,1,68.0,2015,1
131785,2015-01-13 02:00:00,2015-01-13 00:00:00,2,62.0,2015,1
131786,2015-01-13 03:00:00,2015-01-13 00:00:00,3,49.0,2015,1
131787,2015-01-13 04:00:00,2015-01-13 00:00:00,4,54.0,2015,1
131788,2015-01-13 05:00:00,2015-01-13 00:00:00,5,58.0,2015,1
131789,2015-01-13 06:00:00,2015-01-13 00:00:00,6,61.0,2015,1
131790,2015-01-13 07:00:00,2015-01-13 00:00:00,7,54.0,2015,1
131791,2015-01-13 08:00:00,2015-01-13 00:00:00,8,61.0,2015,1
131792,2015-01-13 09:00:00,2015-01-13 00:00:00,9,64.0,2015,1
131793,2015-01-13 10:00:00,2015-01-13 00:00:00,10,72.0,2015,1
131794,2015-01-13 11:00:00,2015-01-13 00:00:00,11,79.0,2015,1
131795,2015-01-13 12:00:00,2015-01-13 00:00:00,12,53.0,2015,1
131796,2015-01-13 13:00:00,2015-01-13 00:00:00,13,57.0,2015,1
131797,2015-01-13 14:00:00,2015-01-13 00:00:00,14,82.0,2015,1
131798,2015-01-13 15:00:00,2015-01-13 00:00:00,15,91.0,2015,1
131799,2015-01-13 16:00:00,2015-01-13 00:00:00,16,81.0,2015,1
131800,2015-01-13 17:00:00,2015-01-13 00:00:00,17,79.0,2015,1
131801,2015-01-13 18:00:00,2015-01-13 00:00:00,18,69.0,2015,1
131802,2015-01-13 19:00:00,2015-01-13 00:00:00,19,53.0,2015,1
131803,2015-01-13 20:00:00,2015-01-13 00:00:00,20,74.0,2015,1
131804,2015-01-13 21:00:00,2015-01-13 00:00:00,21,82.0,2015,1
131805,2015-01-13 22:00:00,2015-01-13 00:00:00,22,71.0,2015,1
131806,2015-01-13 23:00:00,2015-01-13 00:00:00,23,66.0,2015,1
131807,2015-01-13 00:00:00,2015-01-13 00:00:00,0,64.0,2015,1
131808,2015-01-14 01:00:00,2015-01-14 00:00:00,1,52.0,2015,1
131809,2015-01-14 02:00:00,2015-01-14 00:00:00,2,58.0,2015,1
131810,2015-01-14 03:00:00,2015-01-14 00:00:00,3,59.0,2015,1
131811,2015-01-14 04:00:00,2015-01-14 00:00:00,4,57.0,2015,1
131812,2015-01-14 05:00:00,2015-01-14 00:00:00,5,54.0,2015,1
131813,2015-01-14 06:00:00,2015-01-14 00:00:00,6,56.0,2015,1
131814,2015-01-14 07:00:00,2015-01-14 00:00:00,7,60.0,2015,1
131815,2015-01-14 08:00:00,2015-01-14 00:00:00,8,68.0,2015,1
131816,2015-01-14 09:00:00,2015-01-14 00:00:00,9,90.0,2015,1
131817,2015-01-14 10:00:00,2015-01-14 00:00:00,10,103.0,2015,1
131818,2015-01-14 11:00:00,2015-01-14 00:00:00,11,103.0,2015,1
131819,2015-01-14 12:00:00,2015-01-14 00:00:00,12,29.665182648401828,2015,1
131820,2015-01-14 13:00:00,2015-01-14 00:00:00,13,29.665182648401828,2015,1
131821,2015-01-14 14:00:00,2015-01-14 00:00:00,14,29.665182648401828,2015,1
131822,2015-01-14 15:00:00,2015-01-14 00:00:00,15,29.665182648401828,2015,1
131823,2015-01-14 16:00:00,2015-01-14 00:00:00,16,69.0,2015,1
131824,2015-01-14 17:00:00,2015-01-14 00:00:00,17,81.0,2015,1
131825,2015-01-14 18:00:00,2015-01-14 00:00:00,18,86.0,2015,1
131826,2015-01-14 19:00:00,2015-01-14 00:00:00,19,90.0,2015,1
131827,2015-01-14 20:00:00,2015-01-14 00:00:00,20,66.0,2015,1
131828,2015-01-14 21:00:00,2015-01-14 00:00:00,21,49.0,2015,1
131829,2015-01-14 22:00:00,2015-01-14 00:00:00,22,47.0,2015,1
131830,2015-01-14 23:00:00,2015-01-14 00:00:00,23,39.0,2015,1
131831,2015-01-14 00:00:00,2015-01-14 00:00:00,0,35.0,2015,1
131832,2015-01-15 01:00:00,2015-01-15 00:00:00,1,27.0,2015,1
131833,2015-01-15 02:00:00,2015-01-15 00:00:00,2,38.0,2015,1
131834,2015-01-15 03:00:00,2015-01-15 00:00:00,3,35.0,2015,1
131835,2015-01-15 04:00:00,2015-01-15 00:00:00,4,36.0,2015,1
131836,2015-01-15 05:00:00,2015-01-15 00:00:00,5,47.0,2015,1
131837,2015-01-15 06:00:00,2015-01-15 00:00:00,6,40.0,2015,1
131838,2015-01-15 07:00:00,2015-01-15 00:00:00,7,58.0,2015,1
131839,2015-01-15 08:00:00,2015-01-15 00:00:00,8,71.0,2015,1
131840,2015-01-15 09:00:00,2015-01-15 00:00:00,9,57.0,2015,1
131841,2015-01-15 10:00:00,2015-01-15 00:00:00,10,69.0,2015,1
